1. Designator Codes and Descriptions,,,,
a. Unrestricted Line,,,,
Billet Code,Billet,Officer Code,Officer,Officer Community Manager (OCM)
7180,Warrant Officer (Line) billet requiring supervision in Electronics Technician specialty,718X,Electronics Technician (Surface),ACNO (Surface Warfare)
,,,,
r. CHIEF WARRANT OFFICER-LINE (SUBMARINE),,,,
7200,Warrant Officer (Line) billet requiring specialty of a Diving Officer,720X,Diving Officer,ACNO (Undersea Warfare)
7260,Warrant Officer (Line) billet requiring supervision in Ordnance Technician specialty (Submarine),726X,Ordnance Technician (Submarine),ACNO (Undersea Warfare)
7280,Warrant Officer (Line) billet requiring specialty of an Acoustic Technician,728X,Acoustic Technician,ACNO (Undersea Warfare)
"*See definitions in Section 1, paragraph 2.b.",,,,
,,,,
s. CHIEF WARRANT OFFICER-LINE (AVIATION),,,,
7310,Warrant Officer (Line) billet requiring supervision in Aviation Boatswain specialty,731X,Aviation Boatswain,ACNO (Air Warfare)
7320,Warrant Officer (Line) billet requiring supervision in Aviation Operations Technician specialty,732X,Aviation Operations Technician,ACNO (Air Warfare)
*7321,"Warrant Officer (Line) billet, Code 1 - Operational Flying, requiring the specialty of an Aviation Operations (ASW) Technician who is aeronautically designated",N/A,N/A,ACNO (Air Warfare)
7330,Warrant Officer (Line) billet requiring supervision in Aviation Maintenance Technician specialty,733X,Aviation Maintenance Technician,ACNO (Air Warfare)
7360,Warrant Officer (Line) billet requiring supervision in Aviation Ordnance Technician specialty,736X,Aviation Ordnance Technician,ACNO (Air Warfare)
7371,"Warrant Officer (Line) billet, Code 1 – Operational Flying, requiring the specialty of piloting Unmanned Aerial Vehicles who is aeronautically designated.",737X,Air Vehicle Pilot,ACNO (Air Warfare)
"*See definitions in Section 1, paragraph 2.b.",,,,
,,,,
t. CHIEF WARRANT OFFICER-LINE (GENERAL),,,,
7400,Warrant Officer (Line) billet requiring supervision in Nuclear Power Technician specialty. NOTE (2) below applies,740X,Nuclear Power Technician,ACNO (Undersea Warfare); NOTE (4) below applies
