AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
6OZ,,6,O,Medical,Z,Simulationist,"(a) Completed Healthcare Modeling and Simulation Certificate program from the MOVES Institute at the Naval Postgraduate School (NPS).
OR
(b) Graduated from a degree-qualifying healthcare discipline with special focus on Healthcare Delivery / Simulation / Modeling.
OR
(c) Hold a professionally recognized certificate or graduate certification focused on Healthcare Delivery / Simulation / Modeling
",Verification of educational institute accreditation of option (c) will be required by the Healthcare delivery Simulation and Modeling Leadership.,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6PD,,6,P,Emergency Medicine,D,Emergency Medicine Services,"(a) Completed a residency in Emergency Medicine,
AND
(b) Completed an accredited advanced residency in Emergency Medical Services.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6PD require an officer who has previously been awarded the 6PD code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6PE,,6,P,Emergency Medicine,E,Medical Toxicology,"(a) Completed a residency in Emergency Medicine,
AND
(b) Completed an accredited advanced residency in Toxicology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6PE require an officer who has previously been awarded the 6PE code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6PF,,6,P,Emergency Medicine,F,Pediatric Emergency Medicine,"(a) Completed a residency in Emergency Medicine or Pediatrics.
AND
(b) Completed an accredited advanced residency in Pediatric Emergency Medicine.
OR
(c) Successfully passed the Pediatric Emergency Medicine Board examination.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6PF require an officer who has previously been awarded the 6PF code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6PG,,6,P,Emergency Medicine,G,Emergency Ultrasound,"(a) Completed a residency in Emergency Medicine. 
AND
(b) An advanced residency in Emergency Ultrasound.
OR
(c) Successfully passed the American Registry for Diagnostic Medical Sonography Board Examination.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6PG require an officer who has previously been awarded the 6PG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6PH,,6,P,Emergency Medicine,,Emergency Medicine Physician Assistant,Physician Assistant who has completed a formal training program in Emergency Medicine.,,,,230X,,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with 6PH require an officer who has previously been awarded the 6PH code prior to assignment.,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,BUMED-M00C4,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6QF,,6,Q,Family Practice,F,Obstetrics (Additional Training),"(a) Completed an ACGME approved Family Practice residency.
 AND
(b) Completed an ACGME approved advanced residency in additional training in Obstetrics.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6QF require an officer who has previously been awarded the 6QF code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RF,,6,R,Internal Medicine,F,Allergy Immunologist DLI,"(a) Completed a 3-year training program in Pediatrics or Internal Medicine.
AND
(b) Completed a 3-year advanced residency in Allergy/Immunology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RF require an officer who has previously been awarded the 6RF code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RG,,6,R,Internal Medicine,G,"Cardiology, General","(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 3-year advanced residency in Cardiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RG require an officer who has previously been awarded the 6RG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RH,,6,R,Internal Medicine,H,Cardiac Electrophysiologist,"(a) Been previously awarded AQD 6RG.
AND
(b) Completed ACGME requirements for additional advanced residency training in Cardiac Electrophysiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RH require an officer who has previously been awarded the 6RH code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RI,,6,R,Internal Medicine,I,Interventional Cardiologist,"(a) Been previously awarded AQD 6RG.
AND
(b) Completed ACGME requirements for additional advanced residency training in Interventional Cardiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RI require an officer who has previously been awarded the 6RI code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RK,,6,R,Internal Medicine,K,Endocrinologist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Endocrinology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RK require an officer who has previously been awarded the 6RK code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RL,,6,R,Internal Medicine,L,Gastroenterologist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Gastroenterology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RL require an officer who has previously been awarded the 6RL code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RM,,6,R,Internal Medicine,M,Hepatology,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in hepatology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RM require an officer who has previously been awarded the 6RM code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RN,,6,R,Internal Medicine,*N,Hematologist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-year advanced residency in Hematology.
",,,,210X,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RN require an officer who has previously been awarded the 6RN code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O4 TO 06,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RO,,6,R,Internal Medicine,*O,Oncologist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed an ACGME approved advanced residency in Oncology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RO require an officer who has previously been awarded the 6RO code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RP,,6,R,Internal Medicine,P,Infectious Diseases Specialist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed an ACGME approved advanced residency in Infectious Diseases medicine.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RP require an officer who has previously been awarded the 6RP code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RQ,,6,R,Internal Medicine,Q,Nephrology,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Nephrology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RQ require an officer who has previously been awarded the 6RQ code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RR,,6,R,Internal Medicine,R,Pulmonologist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Pulmonology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RR require an officer who has previously been awarded the 6RR code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RS,,6,R,Internal Medicine,S,Rheumatologist,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Rheumatology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RS require an officer who has previously been awarded the 6RS code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RT,,6,R,Internal Medicine,T,Advanced Endoscopic Training,"(a) Completed a 3-year training program in Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Gastroenterology.
AND
(c) Completed additional advanced training in endoscopy.
",,,,210X,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RT require an officer who has previously been awarded the 6RT code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O4 TO 06,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RV,,6,R,Internal Medicine,V,Tropical Medicine,"(a) Completed a 3-year residency training program. 
AND
(b) Completed an ASTMH approved Tropical Medicine/International Medicine certificate program and certification exam. 
OR
(c) Completed a Master of Tropical Medicine (e.g., MTM&H, MPHTM) or Master of Public Health (MPH) – with a certificate of concentration (or equivalent) in Tropical Medicine.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6RV require an officer who has previously been awarded the 6RV code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6RW,,6,R,Internal Medicine,W,Interventional Pulmonologist,"(a) BE/BC in Pulmonary Medicine.
AND
(b) Completed a specialty advisor approved course of additional advanced training in Interventional Pulmonology.
",,,,210X,,,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,Billets coded with 6RW require an officer who has previously been awarded the 6RW code prior to reporting to ultimate duty assignment.,,,,210X,,,,,,,,,,,,,,,,,,,,,,,,,ALL,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6TG,,6,T,Neurology,G,Neurophysiologist,"(a) BE/BC in Neurology.
AND
(b) Completed an additional year of approved advanced residency training in Neurophysiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6TG require an officer who has previously been awarded the 6TG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6UA,,6,U,Undersea Medicine,A,Undersea Medical Examiner,Successfully completed Undersea Medical Examiner (UME) Training at the Naval Undersea Medical Institute (NUMI),,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6UD,,6,U,Undersea Medicine,D,Diver,Qualified in Saturation Diving IAW MILPERSMAN 1210-140.,,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6UE,,6,U,Undersea Medicine,E,Undersea Occupation Medicine,"(a) Completed formal UMO training program at NUMI.
AND
(b) Completed a tour as a UMO.
AND 
(c) Completed an approved Undersea Occupational Medicine residency;
OR
(d) BE/BC in occupational medicine.
AND
(e) Has significant experience in undersea medicine.
OR
(f)  has equivalent experience which satisfied the Undersea Medicine Board’s requirements of training and successful experience.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6UE require an officer who has previously been awarded the 6UE code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6UF,,6,U,Undersea Medicine,F,Hyperbaric Medicine Researcher,"(a) Been awarded AQD 6UE.
AND
(b) Successfully completed a Navy approved training program in Hyperbaric Physiology or related field.
OR
(c) Has equivalent experience which satisfies the Undersea Medicine Board’s requirements of training and successful experience.
AND
(d) Has filled a research billet in this field.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6UF require an officer who has previously been awarded the 6UF code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6UG,,6,U,Undersea Medicine,G,Hyperbaric Medicine Clinician,"(a) Completed a UMO training program at NUMI. 
AND
(b) Completed a tour as a UMO.
AND 
(c) Completed a Navy approved training program in clinical hyperbaric medicine.
AND
(d) BE/BC in a clinical medical specialty.
AND
(e) Has filled a clinical hyperbaric medicine billet.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6UG require an officer who has previously been awarded the 6UG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6UM,,6,U,Undersea Medicine,M,Submarine,Qualified in Undersea Medicine IAW MILPERSMAN 1210-130.,,,,210X,230X,,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with 6UM require an officer who has previously been awarded the 6UM code prior to reporting to ultimate duty assignment.,,,,2000,2100,2102,2300,2302,,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VG,,6,V,Pediatric,G,Pediatric Cardiologist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 3-year advanced residency in Pediatric Cardiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VG require an officer who has previously been awarded the 6VG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VH,,6,V,Pediatric,H,Child/Sexual Abuse Specialist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 1-2 year advanced residency in Child/Sexual Abuse Pediatrics.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VH require an officer who has previously been awarded the 6VH code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VI,,6,V,Pediatric,I,Pediatric Intensivist/ Critical Care,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 3-year advanced residency in Critical Care.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VI require an officer who has previously been awarded the 6VI code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VJ,,6,V,Pediatric,J,Developmental Pediatrician,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Developmental Pediatrics.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VJ require an officer who has previously been awarded the 6VJ code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VK,,6,V,Pediatric,K,Pediatric Endocrinologist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Pediatric Endocrinology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VK require an officer who has previously been awarded the 6VK code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VL,,6,V,Pediatric,L,Pediatric Gastroenterologist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Pediatric Gastroenterology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VL require an officer who has previously been awarded the 6VL code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VN,,6,V,Pediatric,N,Pediatric Hematologist-Oncologist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Pediatric Hematology-Oncology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VN require an officer who has previously been awarded the 6VN code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VO,,6,V,Pediatric,O,Genetic Dysmorphology,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Genetic Dysmorphology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VO require an officer who has previously been awarded the 6VO code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VP,,6,V,Pediatric,P,Pediatric Infectious Disease Specialist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Infectious Disease.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VP require an officer who has previously been awarded the 6VP code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VQ,,6,V,Pediatric,Q,Pediatric Nephrology,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Pediatric Nephrology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VQ require an officer who has previously been awarded the 6VQ code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VR,,6,V,Pediatric,R,Pediatric Pulmonologist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Pulmonology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VR require an officer who has previously been awarded the 6VR code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VU,,6,V,Pediatric,U,Child Neurologist,"(a) Completed 2-3 years in an accredited Pediatric residency program (or other requirements as set forth by the ACGME).
AND
(b) Completed a 3 year accredited training program in Child Neurology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VU require an officer who has previously been awarded the 6VU code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6VV,,6,V,Pediatric,V,Neonatologist,"(a) Completed a 3-year training program in Pediatrics.
AND
(b) Completed a 2-3 year advanced residency in Neonatology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6VV require an officer who has previously been awarded the 6VV code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6XD,,6,X,Psychiatry,D,Addiction Psychiatry,"(a) BE/BC in Psychiatry.
AND
(b) Has 25% of practice time or a 1 year ACGME approved advanced residency in addition psychiatry (advanced residency only after 1998). 
AND
(c) Has the added qualification certificate of the American Board of Psychiatry and Neurology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6XD require an officer who has previously been awarded the 6XD code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
